#,t_obs,tcf,"pi_beta(S, Ccf, tcf)","pi_beta(S, C, tcf)"
10,VLX150QD,D60-120,0.03800142928957939,0.03523455560207367
10,VLX150QD,DLX60QD,0.18365778028964996,0.18549004197120667
10,VLX150QD,V150-225,0.04976760596036911,0.06078776717185974
10,VLX150QD,V75-225,-0.009761372581124306,0.003538635093718767
10,VLX150QD,VLX75QD,-0.19658474624156952,-0.20260198414325714
11,D60-120,DLX60QD,0.06131819635629654,0.057971756905317307
11,D60-120,V150-225,-0.04856220632791519,-0.0509827621281147
11,D60-120,V75-225,-0.20626898109912872,-0.21245893836021423
11,D60-120,VLX150QD,0.08995972573757172,0.09176577627658844
11,D60-120,VLX75QD,0.14847078919410706,0.14554695785045624
12,VLX75QD,D60-120,0.1080833449959755,0.09428795427083969
12,VLX75QD,DLX60QD,0.05585188418626785,0.05185917764902115
12,VLX75QD,V150-225,-0.014233571477234364,-0.02729151025414467
12,VLX75QD,V75-225,-0.22634100914001465,-0.2270134538412094
12,VLX75QD,VLX150QD,0.0718807503581047,0.05724877119064331
13,V150-225,D60-120,0.04893050342798233,0.06335372477769852
13,V150-225,DLX60QD,0.1616114377975464,0.16659022867679596
13,V150-225,V75-225,0.013917915523052216,0.019513936713337898
13,V150-225,VLX150QD,0.09073921293020248,0.11164648085832596
13,V150-225,VLX75QD,0.05805110186338425,0.07401895523071289
14,VLX150QD,D60-120,0.03882214426994324,0.024100158363580704
14,VLX150QD,DLX60QD,0.053074829280376434,0.053114138543605804
14,VLX150QD,V150-225,-0.07006586343050003,-0.07029007375240326
14,VLX150QD,V75-225,-0.18156234920024872,-0.177683025598526
14,VLX150QD,VLX75QD,0.11141596734523773,0.09843131899833679
15,V150-225,D60-120,0.08554209768772125,0.08974580466747284
15,V150-225,DLX60QD,0.0592043474316597,0.05763445049524307
15,V150-225,V75-225,-0.23463697731494904,-0.2385338395833969
15,V150-225,VLX150QD,0.11355599015951157,0.12178602814674377
15,V150-225,VLX75QD,0.13863292336463928,0.13915938138961792
16,VLX75QD,D60-120,0.10546852648258209,0.101823590695858
16,VLX75QD,DLX60QD,0.06559410691261292,0.0654362142086029
16,VLX75QD,V150-225,0.005589738022536039,0.009412134066224098
16,VLX75QD,V75-225,-0.23809805512428284,-0.23806072771549225
16,VLX75QD,VLX150QD,0.1378404200077057,0.14329643547534943
17,V75-225,D60-120,0.09941177070140839,0.1017903983592987
17,V75-225,DLX60QD,0.07274341583251953,0.07265633344650269
17,V75-225,V150-225,-0.00964683759957552,-0.013102665543556213
17,V75-225,VLX150QD,0.04717565327882767,0.05508483573794365
17,V75-225,VLX75QD,-0.042158178985118866,-0.03632931038737297
18,VLX150QD,D60-120,0.045205675065517426,0.04410963132977486
18,VLX150QD,DLX60QD,0.06840240955352783,0.07300719618797302
18,VLX150QD,V150-225,-0.009529325179755688,-0.007459638174623251
18,VLX150QD,V75-225,-0.1346118301153183,-0.12742161750793457
18,VLX150QD,VLX75QD,-0.12540969252586365,-0.13361553847789764
19,V150-225,D60-120,0.10793906450271606,0.10165944695472717
19,V150-225,DLX60QD,0.05804405361413956,0.06057928502559662
19,V150-225,V75-225,-0.2317310869693756,-0.22937215864658356
19,V150-225,VLX150QD,0.14079166948795319,0.12684349715709686
19,V150-225,VLX75QD,0.13103801012039185,0.12900608777999878
20,VLX150QD,D60-120,0.06072641536593437,0.05877295881509781
20,VLX150QD,DLX60QD,0.2219347059726715,0.22217024862766266
20,VLX150QD,V150-225,0.1228652149438858,0.12588734924793243
20,VLX150QD,V75-225,0.08763886988162994,0.08362787961959839
20,VLX150QD,VLX75QD,-0.16885623335838318,-0.16865476965904236
21,D60-120,DLX60QD,0.16957075893878937,0.1569991111755371
21,D60-120,V150-225,-0.006274706684052944,-0.01516043022274971
21,D60-120,V75-225,-0.06450061500072479,-0.09185415506362915
21,D60-120,VLX150QD,0.05932624265551567,0.04817279428243637
21,D60-120,VLX75QD,-0.09908436238765717,-0.09413422644138336
22,V75-225,D60-120,0.05515564605593681,0.06095083802938461
22,V75-225,DLX60QD,0.08346972614526749,0.0820598304271698
22,V75-225,V150-225,-0.0708078071475029,-0.06853122264146805
22,V75-225,VLX150QD,0.049495719373226166,0.06163725256919861
22,V75-225,VLX75QD,0.00550982728600502,0.019373733550310135
23,V75-225,D60-120,0.050741977989673615,0.05324302613735199
23,V75-225,DLX60QD,0.09555099904537201,0.08978709578514099
23,V75-225,V150-225,0.01800275593996048,0.009838232770562172
23,V75-225,VLX150QD,0.05409723520278931,0.055124737322330475
23,V75-225,VLX75QD,-0.01831560954451561,-0.01701393350958824
24,V150-225,D60-120,0.0623743049800396,0.07370451092720032
24,V150-225,DLX60QD,0.07228337973356247,0.06748519092798233
24,V150-225,V75-225,-0.15405187010765076,-0.14876365661621094
24,V150-225,VLX150QD,0.04587943106889725,0.05927688628435135
24,V150-225,VLX75QD,0.010633527301251888,0.01968107558786869
25,D60-120,DLX60QD,0.06479839980602264,0.06114771217107773
25,D60-120,V150-225,-0.01726808026432991,-0.02473195269703865
25,D60-120,V75-225,-0.11941593885421753,-0.12343786656856537
25,D60-120,VLX150QD,0.024258268997073174,0.015972483903169632
25,D60-120,VLX75QD,-0.15788087248802185,-0.16598458588123322
26,V150-225,D60-120,0.10012239217758179,0.11538349092006683
26,V150-225,DLX60QD,0.08408081531524658,0.09517741203308105
26,V150-225,V75-225,-0.1565268635749817,-0.1530214548110962
26,V150-225,VLX150QD,0.05854007601737976,0.06766818463802338
26,V150-225,VLX75QD,-0.048030830919742584,-0.03442933037877083
27,VLX75QD,D60-120,0.1231609582901001,0.12915940582752228
27,VLX75QD,DLX60QD,0.06494469940662384,0.07475395500659943
27,VLX75QD,V150-225,0.02668524906039238,0.03586522117257118
27,VLX75QD,V75-225,-0.2221318483352661,-0.21486231684684753
27,VLX75QD,VLX150QD,0.15253178775310516,0.172011137008667
28,D60-120,DLX60QD,0.0841665044426918,0.0898718535900116
28,D60-120,V150-225,0.028652846813201904,0.03334849700331688
28,D60-120,V75-225,-0.15934696793556213,-0.1570974886417389
28,D60-120,VLX150QD,0.06759387999773026,0.08061511814594269
28,D60-120,VLX75QD,-0.019786452874541283,-0.005518184509128332
29,D60-120,DLX60QD,0.20096702873706818,0.20461709797382355
29,D60-120,V150-225,0.07930465042591095,0.07816967368125916
29,D60-120,V75-225,0.010038311593234539,0.013148568570613861
29,D60-120,VLX150QD,0.07100886851549149,0.08385251462459564
29,D60-120,VLX75QD,-0.17638707160949707,-0.17585694789886475
30,D60-120,DLX60QD,0.08058606088161469,0.07485371828079224
30,D60-120,V150-225,0.027182748541235924,0.021488124504685402
30,D60-120,V75-225,-0.16548842191696167,-0.1709006428718567
30,D60-120,VLX150QD,0.07699020206928253,0.07218298316001892
30,D60-120,VLX75QD,-0.0027588875964283943,0.00038946280255913734
31,D60-120,DLX60QD,0.06244184449315071,0.06408236920833588
31,D60-120,V150-225,-0.008070169016718864,-0.007168344687670469
31,D60-120,V75-225,-0.19625595211982727,-0.1986277550458908
31,D60-120,VLX150QD,0.06861921399831772,0.07752004265785217
31,D60-120,VLX75QD,0.04342878237366676,0.04712057113647461
32,V150-225,D60-120,0.010718204081058502,0.01717890053987503
32,V150-225,DLX60QD,0.16982276737689972,0.16431394219398499
32,V150-225,V75-225,-0.07380915433168411,-0.07877977192401886
32,V150-225,VLX150QD,0.0607580840587616,0.0683789998292923
32,V150-225,VLX75QD,-0.09138909727334976,-0.0817762166261673
33,V75-225,D60-120,0.0902300626039505,0.09330219030380249
33,V75-225,DLX60QD,0.06832897663116455,0.061776053160429
33,V75-225,V150-225,-0.00910388957709074,-0.00848325528204441
33,V75-225,VLX150QD,0.12167074531316757,0.13237962126731873
33,V75-225,VLX75QD,0.1325194537639618,0.13517099618911743
34,V150-225,D60-120,0.019986804574728012,0.010957147926092148
34,V150-225,DLX60QD,0.04544670134782791,0.04463642090559006
34,V150-225,V75-225,-0.14329388737678528,-0.13994768261909485
34,V150-225,VLX150QD,0.0780114233493805,0.08165135234594345
34,V150-225,VLX75QD,0.10456033796072006,0.09627718478441238
35,DLX60QD,D60-120,0.14476639032363892,0.15661227703094482
35,DLX60QD,V150-225,0.05636060982942581,0.0679280236363411
35,DLX60QD,V75-225,-0.2017427682876587,-0.19069619476795197
35,DLX60QD,VLX150QD,0.12963269650936127,0.16386808454990387
35,DLX60QD,VLX75QD,0.10824529826641083,0.12549318373203278
36,V150-225,D60-120,0.1321878433227539,0.14447616040706635
36,V150-225,DLX60QD,0.06915156543254852,0.07933293282985687
36,V150-225,V75-225,-0.20870916545391083,-0.20073242485523224
36,V150-225,VLX150QD,0.10806983709335327,0.14340968430042267
36,V150-225,VLX75QD,0.08723700791597366,0.11004120111465454
37,V150-225,D60-120,0.10429241508245468,0.12238450348377228
37,V150-225,DLX60QD,0.07707492262125015,0.08996586501598358
37,V150-225,V75-225,-0.17357642948627472,-0.1635739952325821
37,V150-225,VLX150QD,0.058144815266132355,0.07729895412921906
37,V150-225,VLX75QD,-0.03169471025466919,-0.012350630015134811
38,V75-225,D60-120,-0.0031212717294692993,0.00658643851056695
38,V75-225,DLX60QD,0.1076684221625328,0.11749708652496338
38,V75-225,V150-225,0.017247993499040604,0.028187524527311325
38,V75-225,VLX150QD,0.0604722797870636,0.07162196189165115
38,V75-225,VLX75QD,-0.20684245228767395,-0.20821604132652283
39,DLX60QD,D60-120,-0.0202630702406168,-0.022839829325675964
39,DLX60QD,V150-225,-0.06269178539514542,-0.06911835074424744
39,DLX60QD,V75-225,-0.11695108562707901,-0.12201283872127533
39,DLX60QD,VLX150QD,0.08567312359809875,0.08592358231544495
39,DLX60QD,VLX75QD,0.07460445165634155,0.07789288461208344
40,V75-225,D60-120,0.13079877197742462,0.14110834896564484
40,V75-225,DLX60QD,0.09363527595996857,0.09829606115818024
40,V75-225,V150-225,0.042907439172267914,0.04772772639989853
40,V75-225,VLX150QD,0.07247208058834076,0.08832865953445435
40,V75-225,VLX75QD,-0.012777996249496937,0.0011399039067327976
41,D60-120,DLX60QD,0.0713726133108139,0.06284094601869583
41,D60-120,V150-225,0.0010983316460624337,-0.013472281396389008
41,D60-120,V75-225,-0.12415685504674911,-0.12966422736644745
41,D60-120,VLX150QD,0.028092604130506516,0.02390621043741703
41,D60-120,VLX75QD,-0.12675164639949799,-0.13611984252929688
42,DLX60QD,D60-120,0.07544491440057755,0.047498151659965515
42,DLX60QD,V150-225,-0.060762517154216766,-0.05967584252357483
42,DLX60QD,V75-225,-0.20903675258159637,-0.19291123747825623
42,DLX60QD,VLX150QD,0.08677364885807037,0.060714203864336014
42,DLX60QD,VLX75QD,0.15242893993854523,0.12998810410499573
43,V75-225,D60-120,-0.0015958750154823065,0.00850585475564003
43,V75-225,DLX60QD,0.052191078662872314,0.04503469914197922
43,V75-225,V150-225,-0.06659473478794098,-0.0678529292345047
43,V75-225,VLX150QD,0.08904044330120087,0.10341042280197144
43,V75-225,VLX75QD,0.1042913943529129,0.11868916451931
44,DLX60QD,D60-120,-0.020884361118078232,-0.018451794981956482
44,DLX60QD,V150-225,0.0001302215678151697,0.000929574016481638
44,DLX60QD,V75-225,0.05553339049220085,0.050292886793613434
44,DLX60QD,VLX150QD,0.04776863008737564,0.04656308516860008
44,DLX60QD,VLX75QD,-0.11403520405292511,-0.10584193468093872
45,DLX60QD,D60-120,0.132164865732193,0.1343858689069748
45,DLX60QD,V150-225,0.027627218514680862,0.027039021253585815
45,DLX60QD,V75-225,-0.1998547613620758,-0.20212216675281525
45,DLX60QD,VLX150QD,0.09854049980640411,0.1086454838514328
45,DLX60QD,VLX75QD,0.06625604629516602,0.07413740456104279
46,V75-225,D60-120,0.1434444934129715,0.1415684074163437
46,V75-225,DLX60QD,0.0745384693145752,0.07806834578514099
46,V75-225,V150-225,0.05667640641331673,0.05668279901146889
46,V75-225,VLX150QD,0.12861986458301544,0.1356927454471588
46,V75-225,VLX75QD,0.09832228720188141,0.10061787068843842
47,VLX75QD,D60-120,0.11940988153219223,0.11970692873001099
47,VLX75QD,DLX60QD,0.08867514878511429,0.0935526043176651
47,VLX75QD,V150-225,0.02675526775419712,0.02955472469329834
47,VLX75QD,V75-225,-0.1633417308330536,-0.1588771939277649
47,VLX75QD,VLX150QD,0.06105632707476616,0.06708283722400665
48,V75-225,D60-120,0.08028660714626312,0.06835697591304779
48,V75-225,DLX60QD,0.06667123734951019,0.06915382295846939
48,V75-225,V150-225,-0.07031474262475967,-0.06710167229175568
48,V75-225,VLX150QD,0.04507152736186981,0.038890570402145386
48,V75-225,VLX75QD,0.014574499800801277,-0.0023449850268661976
49,VLX150QD,D60-120,0.008635066449642181,0.014473550021648407
49,VLX150QD,DLX60QD,0.12179514020681381,0.12231548130512238
49,VLX150QD,V150-225,0.03833215683698654,0.047866180539131165
49,VLX150QD,V75-225,0.08579643070697784,0.10055962204933167
49,VLX150QD,VLX75QD,-0.15018390119075775,-0.15131515264511108
50,V150-225,D60-120,0.09176089614629745,0.07465305179357529
50,V150-225,DLX60QD,0.061345089226961136,0.055959708988666534
50,V150-225,V75-225,-0.22868585586547852,-0.2273334264755249
50,V150-225,VLX150QD,0.1059810072183609,0.08761104941368103
50,V150-225,VLX75QD,0.14423100650310516,0.13441193103790283
51,VLX75QD,D60-120,0.09629062563180923,0.10408933460712433
51,VLX75QD,DLX60QD,0.06368718296289444,0.07433934509754181
51,VLX75QD,V150-225,-0.00023966915614437312,0.012777905911207199
51,VLX75QD,V75-225,-0.23291783034801483,-0.2215552181005478
51,VLX75QD,VLX150QD,0.12379708141088486,0.15186500549316406
52,DLX60QD,D60-120,0.0459514856338501,0.041089583188295364
52,DLX60QD,V150-225,-0.06363683193922043,-0.06151982396841049
52,DLX60QD,V75-225,-0.1733037829399109,-0.16613134741783142
52,DLX60QD,VLX150QD,0.0721006765961647,0.07325275987386703
52,DLX60QD,VLX75QD,0.12331199645996094,0.11783862859010696
53,V75-225,D60-120,0.1164216548204422,0.12159518897533417
53,V75-225,DLX60QD,0.08502985537052155,0.08824779838323593
53,V75-225,V150-225,0.012308873236179352,0.01531897857785225
53,V75-225,VLX150QD,0.06064823269844055,0.06898637861013412
53,V75-225,VLX75QD,-0.03558645397424698,-0.022604338824748993
54,DLX60QD,D60-120,0.019310791045427322,0.013668237254023552
54,DLX60QD,V150-225,-0.03637002035975456,-0.023344408720731735
54,DLX60QD,V75-225,-0.08075045049190521,-0.06221079081296921
54,DLX60QD,VLX150QD,0.04077150672674179,0.04361493140459061
54,DLX60QD,VLX75QD,-0.18186256289482117,-0.18969491124153137
55,DLX60QD,D60-120,0.004858335014432669,0.004039639141410589
55,DLX60QD,V150-225,-0.021573197096586227,-0.023415401577949524
55,DLX60QD,V75-225,-0.08481360971927643,-0.09038946032524109
55,DLX60QD,VLX150QD,0.059708982706069946,0.05500718951225281
55,DLX60QD,VLX75QD,-0.0803162008523941,-0.07954543083906174
56,VLX75QD,D60-120,0.044498223811388016,0.03454403951764107
56,VLX75QD,DLX60QD,0.17727598547935486,0.17275357246398926
56,VLX75QD,V150-225,0.0692533552646637,0.0641009509563446
56,VLX75QD,V75-225,0.1041751280426979,0.09242212772369385
56,VLX75QD,VLX150QD,0.0867009162902832,0.0748247504234314
57,D60-120,DLX60QD,0.048063043504953384,0.047468580305576324
57,D60-120,V150-225,-0.06246102973818779,-0.06511232256889343
57,D60-120,V75-225,-0.16995176672935486,-0.17142976820468903
57,D60-120,VLX150QD,0.07556658983230591,0.06289143115282059
57,D60-120,VLX75QD,0.12076735496520996,0.11002332717180252
58,V75-225,D60-120,0.054594673216342926,0.0486515574157238
58,V75-225,DLX60QD,0.21155795454978943,0.2107521891593933
58,V75-225,V150-225,0.10278820991516113,0.1098681390285492
58,V75-225,VLX150QD,0.08439930528402328,0.08146372437477112
58,V75-225,VLX75QD,-0.1767466813325882,-0.17692631483078003
59,V150-225,D60-120,0.04683511331677437,0.03821505606174469
59,V150-225,DLX60QD,0.2155202180147171,0.21131598949432373
59,V150-225,V75-225,0.04000384360551834,0.029936842620372772
59,V150-225,VLX150QD,0.08568025380373001,0.07456973940134048
59,V150-225,VLX75QD,-0.16199937462806702,-0.16149094700813293
60,VLX150QD,D60-120,0.0039113229140639305,-0.0010647280141711235
60,VLX150QD,DLX60QD,0.10883741080760956,0.12303106486797333
