#,t_obs,tcf,"pi_beta(S, Ccf, tcf)","pi_beta(S, C, tcf)"
150,D60-120,V150-225,0.017050784081220627,0.025166917592287064
150,D60-120,V75-225,-0.23218071460723877,-0.21866244077682495
150,D60-120,VLX150QD,0.1307501345872879,0.15549442172050476
150,D60-120,VLX75QD,0.12993159890174866,0.1426822543144226
151,VLX75QD,D60-120,0.06901410967111588,0.08325429260730743
151,VLX75QD,DLX60QD,0.06352059543132782,0.06662604212760925
151,VLX75QD,V150-225,-0.05158368498086929,-0.04529453068971634
151,VLX75QD,V75-225,-0.16078414022922516,-0.15867072343826294
151,VLX75QD,VLX150QD,0.033691972494125366,0.053676921874284744
152,DLX60QD,D60-120,0.049721457064151764,0.04653382673859596
152,DLX60QD,V150-225,0.10456975549459457,0.10823849588632584
152,DLX60QD,V75-225,0.06417481601238251,0.06973567605018616
152,DLX60QD,VLX150QD,0.08307744562625885,0.08255904912948608
152,DLX60QD,VLX75QD,-0.1858384758234024,-0.18531855940818787
153,DLX60QD,D60-120,0.017000803723931313,0.0029785155784338713
153,DLX60QD,V150-225,-0.0025572367012500763,0.008259627968072891
153,DLX60QD,V75-225,-0.04403455927968025,-0.033214762806892395
153,DLX60QD,VLX150QD,0.04710054397583008,0.04489811137318611
153,DLX60QD,VLX75QD,-0.20830664038658142,-0.21885554492473602
154,V75-225,D60-120,0.04094650596380234,0.027485499158501625
154,V75-225,DLX60QD,0.06976018100976944,0.06713248789310455
154,V75-225,V150-225,-0.007978019304573536,-0.008964965119957924
154,V75-225,VLX150QD,0.021616419777274132,0.018344778567552567
154,V75-225,VLX75QD,-0.14129456877708435,-0.1600552499294281
155,VLX75QD,D60-120,0.10002438724040985,0.10084986686706543
155,VLX75QD,DLX60QD,0.061757493764162064,0.05987110733985901
155,VLX75QD,V150-225,0.00022447147057391703,0.0002390206791460514
155,VLX75QD,V75-225,-0.22104379534721375,-0.22294721007347107
155,VLX75QD,VLX150QD,0.12173465639352798,0.13427811861038208
156,VLX75QD,D60-120,-0.0022966605611145496,-0.002880143467336893
156,VLX75QD,DLX60QD,0.11948762089014053,0.11830087751150131
156,VLX75QD,V150-225,0.028594762086868286,0.029704444110393524
156,VLX75QD,V75-225,0.06171998381614685,0.06670752167701721
156,VLX75QD,VLX150QD,0.0574142225086689,0.0672389417886734
157,D60-120,DLX60QD,0.09614843130111694,0.0879269689321518
157,D60-120,V150-225,-0.0011975072557106614,-0.006449439097195864
157,D60-120,V75-225,0.09878019988536835,0.09027811884880066
157,D60-120,VLX150QD,0.0530436635017395,0.05502156913280487
157,D60-120,VLX75QD,-0.22394783794879913,-0.2127780318260193
158,V150-225,D60-120,0.03159371763467789,0.038303326815366745
158,V150-225,DLX60QD,0.1058211550116539,0.09667403995990753
158,V150-225,V75-225,-0.14534157514572144,-0.14616897702217102
158,V150-225,VLX150QD,0.04732442647218704,0.05758076161146164
158,V150-225,VLX75QD,-0.01709473691880703,0.004213119391351938
159,V75-225,D60-120,0.0482807531952858,0.052259236574172974
159,V75-225,DLX60QD,0.16801729798316956,0.17008084058761597
159,V75-225,V150-225,0.05885045975446701,0.06660137325525284
159,V75-225,VLX150QD,0.07973317801952362,0.08907046914100647
159,V75-225,VLX75QD,-0.16847528517246246,-0.15868103504180908
160,DLX60QD,D60-120,0.11176113784313202,0.09677914530038834
160,DLX60QD,V150-225,0.018595291301608086,0.006628759671002626
160,DLX60QD,V75-225,-0.24005179107189178,-0.25150424242019653
160,DLX60QD,VLX150QD,0.1535230576992035,0.13994969427585602
160,DLX60QD,VLX75QD,0.14107510447502136,0.12275674939155579
161,V75-225,D60-120,0.01084076426923275,0.00992625392973423
161,V75-225,DLX60QD,0.12306668609380722,0.12245837599039078
161,V75-225,V150-225,0.013297855854034424,0.009237108752131462
161,V75-225,VLX150QD,0.07998855412006378,0.07682402431964874
161,V75-225,VLX75QD,-0.03321678191423416,-0.028360173106193542
162,V150-225,D60-120,0.021666593849658966,0.019382089376449585
162,V150-225,DLX60QD,0.06419079005718231,0.06127053499221802
162,V150-225,V75-225,-0.10828429460525513,-0.11445556581020355
162,V150-225,VLX150QD,0.016857963055372238,0.014494506642222404
162,V150-225,VLX75QD,-0.16134099662303925,-0.17099112272262573
163,VLX75QD,D60-120,0.04471766948699951,0.03961456939578056
163,VLX75QD,DLX60QD,0.06281660497188568,0.06614867597818375
163,VLX75QD,V150-225,-0.02798577770590782,-0.027247890830039978
163,VLX75QD,V75-225,-0.13579750061035156,-0.12869064509868622
163,VLX75QD,VLX150QD,0.03202145919203758,0.03282906487584114
164,D60-120,DLX60QD,0.14641734957695007,0.13749468326568604
164,D60-120,V150-225,-0.04560328647494316,-0.056807804852724075
164,D60-120,V75-225,-0.10955588519573212,-0.12239444255828857
164,D60-120,VLX150QD,0.057840872555971146,0.057651787996292114
164,D60-120,VLX75QD,-0.06350607424974442,-0.04342563450336456
165,V75-225,D60-120,0.032097894698381424,0.028548303991556168
165,V75-225,DLX60QD,0.19022773206233978,0.18817299604415894
165,V75-225,V150-225,0.0437450110912323,0.047679170966148376
165,V75-225,VLX150QD,0.06887282431125641,0.06660808622837067
165,V75-225,VLX75QD,-0.1709599792957306,-0.17351388931274414
166,DLX60QD,D60-120,0.030574912205338478,0.03083406761288643
166,DLX60QD,V150-225,0.029562583193182945,0.03379225730895996
166,DLX60QD,V75-225,-0.02668648026883602,-0.014162197709083557
166,DLX60QD,VLX150QD,0.061660539358854294,0.0703200250864029
166,DLX60QD,VLX75QD,-0.1997210830450058,-0.19912824034690857
167,V150-225,D60-120,0.051640916615724564,0.0554371103644371
167,V150-225,DLX60QD,0.1858726441860199,0.18820427358150482
167,V150-225,V75-225,0.12253578007221222,0.1306542307138443
167,V150-225,VLX150QD,0.08356110751628876,0.09660201519727707
167,V150-225,VLX75QD,-0.18588683009147644,-0.18090149760246277
168,VLX150QD,D60-120,0.049155253916978836,0.054257284849882126
168,VLX150QD,DLX60QD,0.06759287416934967,0.07703100889921188
168,VLX150QD,V150-225,-0.005772133357822895,0.006180684082210064
168,VLX150QD,V75-225,-0.13168224692344666,-0.12591241300106049
168,VLX150QD,VLX75QD,-0.1066579669713974,-0.10926003009080887
169,V150-225,D60-120,-0.008864159695804119,-0.006529547739773989
169,V150-225,DLX60QD,0.05957464501261711,0.067416712641716
169,V150-225,V75-225,0.02759750746190548,0.030714843422174454
169,V150-225,VLX150QD,0.04097940772771835,0.046906277537345886
169,V150-225,VLX75QD,-0.10246779769659042,-0.09706413745880127
170,D60-120,DLX60QD,0.0682608038187027,0.07319755107164383
170,D60-120,V150-225,0.039927031844854355,0.04021628201007843
170,D60-120,V75-225,-0.19142915308475494,-0.18497425317764282
170,D60-120,VLX150QD,0.09827898442745209,0.11607611179351807
170,D60-120,VLX75QD,0.07624220848083496,0.07898974418640137
171,VLX150QD,D60-120,0.017017308622598648,0.022982953116297722
171,VLX150QD,DLX60QD,0.17437048256397247,0.1835191249847412
171,VLX150QD,V150-225,0.020194338634610176,0.031172780320048332
171,VLX150QD,V75-225,0.0615549273788929,0.07199841737747192
171,VLX150QD,VLX75QD,0.03337973356246948,0.042647119611501694
172,V150-225,D60-120,0.0010839080205187201,-0.004126178566366434
172,V150-225,DLX60QD,0.09356386959552765,0.10200075805187225
172,V150-225,V75-225,0.034616269171237946,0.04997013881802559
172,V150-225,VLX150QD,0.056688375771045685,0.06317008286714554
172,V150-225,VLX75QD,-0.06498321890830994,-0.08025921881198883
173,V150-225,D60-120,-0.021051065996289253,-0.02651526778936386
173,V150-225,DLX60QD,0.06850524246692657,0.04935294762253761
173,V150-225,V75-225,0.05910059064626694,0.0434127151966095
173,V150-225,VLX150QD,0.0457044281065464,0.03367863968014717
173,V150-225,VLX75QD,-0.12356241047382355,-0.12118852138519287
174,VLX75QD,D60-120,0.1012663021683693,0.10775957256555557
174,VLX75QD,DLX60QD,0.06401155889034271,0.07614383101463318
174,VLX75QD,V150-225,0.014438261277973652,0.01880200393497944
174,VLX75QD,V75-225,-0.2330472767353058,-0.23033015429973602
174,VLX75QD,VLX150QD,0.1447666883468628,0.165170818567276
175,D60-120,DLX60QD,0.06530146300792694,0.06737162172794342
175,D60-120,V150-225,0.012180576100945473,0.018982261419296265
175,D60-120,V75-225,-0.23607397079467773,-0.22671106457710266
175,D60-120,VLX150QD,0.13873133063316345,0.14594675600528717
175,D60-120,VLX75QD,0.12663285434246063,0.13348831236362457
176,V75-225,D60-120,0.1021319180727005,0.10887327045202255
176,V75-225,DLX60QD,0.05778486281633377,0.054415181279182434
176,V75-225,V150-225,-0.005074924789369106,-0.007852546870708466
176,V75-225,VLX150QD,0.14003627002239227,0.15202270448207855
176,V75-225,VLX75QD,0.14798690378665924,0.14557969570159912
177,D60-120,DLX60QD,0.07002280652523041,0.07347524166107178
177,D60-120,V150-225,-0.0064292834140360355,-0.003333715256303549
177,D60-120,V75-225,-0.16768798232078552,-0.1679067462682724
177,D60-120,VLX150QD,0.05383564904332161,0.054613418877124786
177,D60-120,VLX75QD,-0.03625021502375603,-0.0412573479115963
178,V150-225,D60-120,-0.01746280863881111,-0.022162536159157753
178,V150-225,DLX60QD,0.143514946103096,0.14117921888828278
178,V150-225,V75-225,0.08193138241767883,0.07629159092903137
178,V150-225,VLX150QD,0.06355489790439606,0.06563783437013626
178,V150-225,VLX75QD,-0.07623737305402756,-0.07911244034767151
179,DLX60QD,D60-120,-0.03149598091840744,-0.04300178587436676
179,DLX60QD,V150-225,-0.06133250519633293,-0.05526436120271683
179,DLX60QD,V75-225,-0.10040233284235,-0.09687496721744537
179,DLX60QD,VLX150QD,0.07962428033351898,0.07223936915397644
179,DLX60QD,VLX75QD,0.057809460908174515,0.043140068650245667
180,V150-225,D60-120,0.04623963683843613,0.04708939418196678
180,V150-225,DLX60QD,0.1648586392402649,0.16622191667556763
180,V150-225,V75-225,0.12357375770807266,0.1309206336736679
180,V150-225,VLX150QD,0.07349465787410736,0.08527974784374237
180,V150-225,VLX75QD,-0.21077120304107666,-0.20841507613658905
181,DLX60QD,D60-120,0.07462378591299057,0.0919947624206543
181,DLX60QD,V150-225,-0.06593605875968933,-0.06213364750146866
181,DLX60QD,V75-225,-0.17759835720062256,-0.1808246523141861
181,DLX60QD,VLX150QD,0.051235221326351166,0.0743388682603836
181,DLX60QD,VLX75QD,0.023292604833841324,0.04662756621837616
182,VLX75QD,D60-120,0.04929257184267044,0.04695218428969383
182,VLX75QD,DLX60QD,0.0705333724617958,0.06686630100011826
182,VLX75QD,V150-225,-0.02241581864655018,-0.02318122237920761
182,VLX75QD,V75-225,-0.13325834274291992,-0.1381007730960846
182,VLX75QD,VLX150QD,0.030908023938536644,0.029993070289492607
183,VLX150QD,D60-120,-0.0035652262158691883,0.002354314783588052
183,VLX150QD,DLX60QD,0.10296741873025894,0.11638814955949783
183,VLX150QD,V150-225,0.019274208694696426,0.03623074293136597
183,VLX150QD,V75-225,0.05932006239891052,0.07653287053108215
183,VLX150QD,VLX75QD,-0.07805519551038742,-0.07796095311641693
184,DLX60QD,D60-120,0.10278481245040894,0.10504558682441711
184,DLX60QD,V150-225,0.0031937272287905216,0.008300978690385818
184,DLX60QD,V75-225,-0.237601637840271,-0.2297087460756302
184,DLX60QD,VLX150QD,0.12431832402944565,0.14547298848628998
184,DLX60QD,VLX75QD,0.13639676570892334,0.14247123897075653
185,VLX150QD,D60-120,0.014450696296989918,0.012752698734402657
185,VLX150QD,DLX60QD,0.16528955101966858,0.16253021359443665
185,VLX150QD,V150-225,0.03170659393072128,0.024071386083960533
185,VLX150QD,V75-225,0.06730230152606964,0.0695955827832222
185,VLX150QD,VLX75QD,0.019863303750753403,0.02187887765467167
186,D60-120,DLX60QD,0.15068450570106506,0.14460846781730652
186,D60-120,V150-225,-0.04676731675863266,-0.04898101091384888
186,D60-120,V75-225,-0.10542838275432587,-0.1143825352191925
186,D60-120,VLX150QD,0.05642658472061157,0.05429980158805847
186,D60-120,VLX75QD,-0.06604532897472382,-0.06164658069610596
187,V150-225,D60-120,0.08582831174135208,0.09940497577190399
187,V150-225,DLX60QD,0.05088702589273453,0.047848768532276154
187,V150-225,V75-225,-0.2021724283695221,-0.2062719762325287
187,V150-225,VLX150QD,0.0628502145409584,0.09036166220903397
187,V150-225,VLX75QD,0.077907495200634,0.09859257936477661
188,DLX60QD,D60-120,0.044961605221033096,0.03788941353559494
188,DLX60QD,V150-225,0.004946725443005562,-0.005125971045345068
188,DLX60QD,V75-225,0.01735513098537922,0.006445671897381544
188,DLX60QD,VLX150QD,0.07164616137742996,0.06121761351823807
188,DLX60QD,VLX75QD,-0.006214131601154804,-0.017735261470079422
189,V75-225,D60-120,-0.001257776515558362,0.0030447933822870255
189,V75-225,DLX60QD,0.10288133472204208,0.10982710868120193
189,V75-225,V150-225,0.02550106681883335,0.03486437723040581
189,V75-225,VLX150QD,0.060422103852033615,0.06828740239143372
189,V75-225,VLX75QD,-0.1406228244304657,-0.1354055404663086
190,DLX60QD,D60-120,0.02400040253996849,0.004695807117968798
190,DLX60QD,V150-225,-0.06536712497472763,-0.06470204889774323
190,DLX60QD,V75-225,-0.1580507904291153,-0.15271979570388794
190,DLX60QD,VLX150QD,0.08737128227949142,0.0672912448644638
190,DLX60QD,VLX75QD,0.13073526322841644,0.10762515664100647
191,D60-120,DLX60QD,0.04890826344490051,0.05528607964515686
191,D60-120,V150-225,-0.06445454061031342,-0.058456093072891235
191,D60-120,V75-225,-0.10526970773935318,-0.09982718527317047
191,D60-120,VLX150QD,0.08189313113689423,0.07537933439016342
191,D60-120,VLX75QD,0.06491902470588684,0.048840172588825226
192,VLX150QD,D60-120,-0.006361986510455608,-0.012178320437669754
192,VLX150QD,DLX60QD,0.14543256163597107,0.13593995571136475
192,VLX150QD,V150-225,0.03329744189977646,0.024845385923981667
192,VLX150QD,V75-225,0.07353420555591583,0.06663253158330917
192,VLX150QD,VLX75QD,-0.025131836533546448,-0.03639812394976616
193,D60-120,DLX60QD,0.06943388283252716,0.06375636160373688
193,D60-120,V150-225,0.0164337120950222,0.0037279115058481693
193,D60-120,V75-225,-0.2289588898420334,-0.23289574682712555
193,D60-120,VLX150QD,0.13744355738162994,0.12523865699768066
193,D60-120,VLX75QD,0.12863001227378845,0.11981383711099625
194,VLX150QD,D60-120,0.034262772649526596,0.040791165083646774
194,VLX150QD,DLX60QD,0.15234632790088654,0.1547362506389618
194,VLX150QD,V150-225,0.03675208240747452,0.03992391377687454
194,VLX150QD,V75-225,0.11289896816015244,0.12406580150127411
194,VLX150QD,VLX75QD,-0.21071171760559082,-0.2070072740316391
195,V75-225,D60-120,0.1302119493484497,0.13198095560073853
195,V75-225,DLX60QD,0.09164414554834366,0.0937773734331131
195,V75-225,V150-225,0.04313378781080246,0.04395769163966179
195,V75-225,VLX150QD,0.06986972689628601,0.07849728316068649
195,V75-225,VLX75QD,-0.012815186753869057,-0.011189065873622894
196,V75-225,D60-120,0.0767669752240181,0.06599115580320358
196,V75-225,DLX60QD,0.15249428153038025,0.1498536914587021
196,V75-225,V150-225,-0.007064609322696924,-0.008030461147427559
196,V75-225,VLX150QD,0.10074888169765472,0.09909770637750626
196,V75-225,VLX75QD,0.044813137501478195,0.04388593137264252
197,V75-225,D60-120,0.005405017174780369,0.0013431948609650135
197,V75-225,DLX60QD,0.04735397920012474,0.04457731544971466
197,V75-225,V150-225,-0.06530366837978363,-0.06789624691009521
197,V75-225,VLX150QD,0.09070385247468948,0.0902177020907402
197,V75-225,VLX75QD,0.10927857458591461,0.11298851668834686
198,VLX75QD,D60-120,-0.02578851208090782,-0.02466033585369587
198,VLX75QD,DLX60QD,0.0793437659740448,0.07145007699728012
198,VLX75QD,V150-225,-0.05847238376736641,-0.06426173448562622
198,VLX75QD,V75-225,-0.10987186431884766,-0.1119423508644104
198,VLX75QD,VLX150QD,0.06206094101071358,0.06550366431474686
199,VLX75QD,D60-120,0.03378359600901604,0.032516203820705414
199,VLX75QD,DLX60QD,0.16396261751651764,0.168209508061409
199,VLX75QD,V150-225,-0.004367874003946781,0.0007640239782631397
199,VLX75QD,V75-225,-0.06174968555569649,-0.05378076434135437
199,VLX75QD,VLX150QD,0.05450328066945076,0.059149812906980515
200,V150-225,D60-120,0.06151599436998367,0.05839812755584717
200,V150-225,DLX60QD,0.05466195195913315,0.04919053241610527
200,V150-225,V75-225,-0.19812354445457458,-0.20410951972007751
200,V150-225,VLX150QD,0.060846973210573196,0.07507846504449844
200,V150-225,VLX75QD,0.12750446796417236,0.13147656619548798
201,VLX150QD,D60-120,0.041803475469350815,0.03313552960753441
201,VLX150QD,DLX60QD,0.21193835139274597,0.20302905142307281
201,VLX150QD,V150-225,0.10430485010147095,0.09383143484592438
201,VLX150QD,V75-225,0.01816815324127674,0.0038368371315300465
201,VLX150QD,VLX75QD,-0.16420114040374756,-0.1625249981880188
202,V75-225,D60-120,-0.023854071274399757,-0.0341392457485199
202,V75-225,DLX60QD,0.05295323580503464,0.05547953397035599
202,V75-225,V150-225,-0.06247337907552719,-0.0597478449344635
202,V75-225,VLX150QD,0.0810970664024353,0.0719439834356308
202,V75-225,VLX75QD,0.07519175857305527,0.05109474062919617
203,VLX150QD,D60-120,0.028840428218245506,0.024188727140426636
203,VLX150QD,DLX60QD,0.16828124225139618,0.17613378167152405
203,VLX150QD,V150-225,-0.0006002585869282484,0.005532593000680208
203,VLX150QD,V75-225,0.037876956164836884,0.045731935650110245
203,VLX150QD,VLX75QD,0.06007387489080429,0.05085406079888344
204,V150-225,D60-120,0.035720836371183395,0.025370944291353226
204,V150-225,DLX60QD,0.20157428085803986,0.1923874318599701
204,V150-225,V75-225,-0.010318184271454811,-0.020276691764593124
204,V150-225,VLX150QD,0.07256077229976654,0.06144601106643677
204,V150-225,VLX75QD,-0.1708131730556488,-0.17114034295082092
205,VLX75QD,D60-120,0.09605268388986588,0.07671177387237549
205,VLX75QD,DLX60QD,0.0505305640399456,0.053745679557323456
205,VLX75QD,V150-225,-0.038922592997550964,-0.04127330332994461
205,VLX75QD,V75-225,-0.23329293727874756,-0.2262524664402008
205,VLX75QD,VLX150QD,0.0947168841958046,0.07867144793272018
206,V150-225,D60-120,0.051982782781124115,0.04435524716973305
206,V150-225,DLX60QD,0.0810752883553505,0.08106821030378342
206,V150-225,V75-225,-0.10683687031269073,-0.1083211898803711
206,V150-225,VLX150QD,0.026694025844335556,0.028109148144721985
206,V150-225,VLX75QD,-0.12006811052560806,-0.12972678244113922
207,D60-120,DLX60QD,0.1648595631122589,0.16030479967594147
207,D60-120,V150-225,-0.0020639351569116116,-0.007179971318691969
207,D60-120,V75-225,0.03827918320894241,0.03566581755876541
207,D60-120,VLX150QD,0.1016220673918724,0.09364226460456848
207,D60-120,VLX75QD,0.04486310854554176,0.03294596076011658
208,V75-225,D60-120,0.06338091194629669,0.07862568646669388
208,V75-225,DLX60QD,0.05964004248380661,0.06832261383533478
208,V75-225,V150-225,-0.033404506742954254,-0.024602126330137253
208,V75-225,VLX150QD,0.03977176174521446,0.053993940353393555
208,V75-225,VLX75QD,-0.06760674715042114,-0.06082192063331604
209,VLX75QD,D60-120,0.06118977069854736,0.06014636158943176
209,VLX75QD,DLX60QD,0.1944633424282074,0.194171741604805
209,VLX75QD,V150-225,0.07418996095657349,0.07875680923461914
209,VLX75QD,V75-225,0.15356174111366272,0.15385720133781433
209,VLX75QD,VLX150QD,0.08658110350370407,0.09059920161962509
210,DLX60QD,D60-120,0.0792054682970047,0.07237528264522552
210,DLX60QD,V150-225,-0.011290083639323711,-0.016047988086938858
210,DLX60QD,V75-225,-0.015188798308372498,-0.015626661479473114
210,DLX60QD,VLX150QD,0.11255554109811783,0.10314328968524933
210,DLX60QD,VLX75QD,0.08093678951263428,0.06631147861480713
211,VLX75QD,D60-120,0.13013571500778198,0.1312393993139267
211,VLX75QD,DLX60QD,0.06993254274129868,0.07236738502979279
211,VLX75QD,V150-225,0.026213422417640686,0.028143443167209625
211,VLX75QD,V75-225,-0.20740839838981628,-0.20796820521354675
211,VLX75QD,VLX150QD,0.10522059351205826,0.11520794034004211
212,DLX60QD,D60-120,0.07336757332086563,0.07081561535596848
212,DLX60QD,V150-225,0.049073781818151474,0.03775942325592041
212,DLX60QD,V75-225,-0.11562927067279816,-0.12032127380371094
212,DLX60QD,VLX150QD,0.03766133636236191,0.03993473947048187
212,DLX60QD,VLX75QD,-0.1045074462890625,-0.09943076968193054
213,VLX150QD,D60-120,-0.029140252619981766,-0.026397012174129486
213,VLX150QD,DLX60QD,0.08488832414150238,0.07602480053901672
213,VLX150QD,V150-225,-0.049716997891664505,-0.061091721057891846
213,VLX150QD,V75-225,-0.0957586020231247,-0.10793505609035492
213,VLX150QD,VLX75QD,0.022508397698402405,0.039640769362449646
214,V150-225,D60-120,0.025024235248565674,0.008467599749565125
214,V150-225,DLX60QD,0.06702164560556412,0.05577854439616203
214,V150-225,V75-225,0.008977813646197319,-0.005035922396928072
214,V150-225,VLX150QD,0.03507237881422043,0.032502949237823486
214,V150-225,VLX75QD,-0.07141833752393723,-0.07773558050394058
215,VLX75QD,D60-120,0.07553555816411972,0.06309428811073303
215,VLX75QD,DLX60QD,0.05130572244524956,0.050143834203481674
215,VLX75QD,V150-225,-0.057316236197948456,-0.05931013822555542
215,VLX75QD,V75-225,-0.20905578136444092,-0.20529091358184814
215,VLX75QD,VLX150QD,0.08165669441223145,0.07131779193878174
216,DLX60QD,D60-120,-0.007338059134781361,-0.012892160564661026
216,DLX60QD,V150-225,0.0146887032315135,0.03495216742157936
216,DLX60QD,V75-225,0.06170375272631645,0.07015387713909149
216,DLX60QD,VLX150QD,0.06815464049577713,0.06917142868041992
216,DLX60QD,VLX75QD,-0.015877069905400276,-0.027999505400657654
217,VLX75QD,D60-120,0.1161108985543251,0.11109492927789688
217,VLX75QD,DLX60QD,0.06297533214092255,0.0605856329202652
217,VLX75QD,V150-225,-0.0066248951479792595,-0.004999482538551092
217,VLX75QD,V75-225,-0.2101719081401825,-0.20953534543514252
217,VLX75QD,VLX150QD,0.0793735608458519,0.07923246175050735
218,DLX60QD,D60-120,0.049523793160915375,0.05024542659521103
218,DLX60QD,V150-225,-0.06410439312458038,-0.06392849236726761
218,DLX60QD,V75-225,-0.17693881690502167,-0.17070510983467102
218,DLX60QD,VLX150QD,0.07600926607847214,0.07525031268596649
218,DLX60QD,VLX75QD,0.12351234257221222,0.11796078085899353
219,V150-225,D60-120,0.009352944791316986,0.040307119488716125
219,V150-225,DLX60QD,0.0515061616897583,0.04665282368659973
219,V150-225,V75-225,-0.1366150826215744,-0.1531645953655243
219,V150-225,VLX150QD,0.08235107362270355,0.11115819960832596
219,V150-225,VLX75QD,0.11095111072063446,0.14703229069709778
220,V75-225,D60-120,0.038926757872104645,0.03861025348305702
220,V75-225,DLX60QD,0.16452422738075256,0.1634269654750824
220,V75-225,V150-225,-0.01812339946627617,-0.011793551966547966
220,V75-225,VLX150QD,0.05396588519215584,0.05645859241485596
220,V75-225,VLX75QD,-0.12557977437973022,-0.13290327787399292
221,D60-120,DLX60QD,0.10141853243112564,0.08940828591585159
221,D60-120,V150-225,-0.06399213522672653,-0.07164022326469421
221,D60-120,V75-225,-0.13760092854499817,-0.1464405655860901
221,D60-120,VLX150QD,0.04017537459731102,0.04635966941714287
221,D60-120,VLX75QD,-0.08549115806818008,-0.06029357761144638
222,V75-225,D60-120,0.009861668571829796,0.009847931563854218
222,V75-225,DLX60QD,0.11722664535045624,0.12348295003175735
222,V75-225,V150-225,0.017448026686906815,0.019649390131235123
222,V75-225,VLX150QD,0.06643400341272354,0.06839011609554291
222,V75-225,VLX75QD,-0.21063533425331116,-0.21269884705543518
223,V150-225,D60-120,0.12481975555419922,0.13880175352096558
223,V150-225,DLX60QD,0.06386400014162064,0.08285687118768692
223,V150-225,V75-225,-0.21539433300495148,-0.2021516114473343
223,V150-225,VLX150QD,0.1604856252670288,0.18408553302288055
223,V150-225,VLX75QD,0.1369040161371231,0.15635879337787628
224,V75-225,D60-120,0.04375683143734932,0.04766320064663887
224,V75-225,DLX60QD,0.08065099269151688,0.07292743772268295
224,V75-225,V150-225,-0.08142457902431488,-0.08282038569450378
224,V75-225,VLX150QD,0.05070994421839714,0.054757773876190186
224,V75-225,VLX75QD,0.013664294965565205,0.023677824065089226
225,VLX75QD,D60-120,0.03556739538908005,0.03221820667386055
225,VLX75QD,DLX60QD,0.1103673204779625,0.08913667500019073
225,VLX75QD,V150-225,0.0011006273562088609,-0.012817565351724625
225,VLX75QD,V75-225,0.021887918934226036,-0.004757437389343977
225,VLX75QD,VLX150QD,0.07139094173908234,0.048176247626543045
226,V150-225,D60-120,0.08095671236515045,0.07716254889965057
226,V150-225,DLX60QD,0.06848730146884918,0.07077102363109589
226,V150-225,V75-225,-0.1618860810995102,-0.1553676426410675
226,V150-225,VLX150QD,0.04076520726084709,0.04915129765868187
226,V150-225,VLX75QD,-0.06133189797401428,-0.06805366277694702
227,VLX75QD,D60-120,0.04747508838772774,0.049216754734516144
227,VLX75QD,DLX60QD,0.07779461145401001,0.0749538466334343
227,VLX75QD,V150-225,0.014453785493969917,0.006933997385203838
227,VLX75QD,V75-225,-0.11932333558797836,-0.12658622860908508
227,VLX75QD,VLX150QD,0.025995785370469093,0.030457451939582825
228,DLX60QD,D60-120,0.1395380049943924,0.14011125266551971
228,DLX60QD,V150-225,0.03664163127541542,0.03771912679076195
228,DLX60QD,V75-225,-0.20439839363098145,-0.20173484086990356
228,DLX60QD,VLX150QD,0.1143873780965805,0.12590892612934113
228,DLX60QD,VLX75QD,0.0763406902551651,0.09181122481822968
229,VLX150QD,D60-120,0.04677782207727432,0.04152048006653786
229,VLX150QD,DLX60QD,0.19842283427715302,0.19137734174728394
229,VLX150QD,V150-225,0.07566062361001968,0.06950458884239197
229,VLX150QD,V75-225,0.019632119685411453,-0.0012322845868766308
229,VLX150QD,VLX75QD,-0.18962335586547852,-0.1881621778011322
230,V75-225,D60-120,0.0402633361518383,0.04044133424758911
230,V75-225,DLX60QD,0.19524753093719482,0.19644799828529358
230,V75-225,V150-225,0.08206965029239655,0.0884610190987587
230,V75-225,VLX150QD,0.07712094485759735,0.08292371034622192
230,V75-225,VLX75QD,-0.19972151517868042,-0.20069706439971924
231,V75-225,D60-120,0.0706615149974823,0.06256210058927536
231,V75-225,DLX60QD,0.16545963287353516,0.1433822065591812
231,V75-225,V150-225,-0.006102690007537603,-0.01818225346505642
231,V75-225,VLX150QD,0.10824811458587646,0.09359496086835861
231,V75-225,VLX75QD,0.05503986403346062,0.047361768782138824
232,VLX75QD,D60-120,0.042414240539073944,0.0379406213760376
232,VLX75QD,DLX60QD,0.16839005053043365,0.17216499149799347
232,VLX75QD,V150-225,-0.005494728218764067,-0.0103162731975317
232,VLX75QD,V75-225,0.02319733053445816,0.029665645211935043
232,VLX75QD,VLX150QD,0.09945288300514221,0.10406989604234695
233,V75-225,D60-120,0.09567330777645111,0.08794780820608139
233,V75-225,DLX60QD,0.06253743171691895,0.06447111070156097
233,V75-225,V150-225,-0.009324376471340656,-0.00848056748509407
233,V75-225,VLX150QD,0.11513270437717438,0.11586210131645203
233,V75-225,VLX75QD,0.13390259444713593,0.13238781690597534
234,V75-225,D60-120,0.01471012830734253,-0.001651934813708067
234,V75-225,DLX60QD,0.04451396316289902,0.045513324439525604
234,V75-225,V150-225,-0.06699218600988388,-0.06605707108974457
234,V75-225,VLX150QD,0.08176909387111664,0.08377093821763992
234,V75-225,VLX75QD,0.12124599516391754,0.11211377382278442
235,V150-225,D60-120,0.11801452934741974,0.11502616107463837
235,V150-225,DLX60QD,0.06216650456190109,0.059086598455905914
235,V150-225,V75-225,-0.19548024237155914,-0.20409773290157318
235,V150-225,VLX150QD,0.08423712849617004,0.08767923712730408
